,Unnamed: 0,Unnamed: 0.1,venue_id,name,lat,lng,address,distance,postalCode,cc,city,state,country,category,tipCount,likes,rating,price_tier,payments,phone,twitter,facebook,menu,formattedAddress,category_name,raw_price
11,11,11,4d3db01efb4c5481eb50df14,Radisson Blu Waterfront Hotel,59.3298307,18.056176500000007,Nils Ericsons Plan 4,4323,111 64,SE,Stockholm,Storstockholm,Sverige,Hotel,89.0,312.0,8.6,,Credit Cards: Yes (incl. American Express),46850506000.0,radissonblu,133713343355714.0,,"Nils Ericsons Plan 4 (Stockholm Central), 111 64 Stockholm, Sverige","Hotel, Convention Center, Event Space",119.0
12,12,12,4bcdd773511f9521a741b5c7,Clarion Hotel Stockholm,59.30726189999999,18.0750499,Ringvägen 98,1596,118 60,SE,Stockholm,Storstockholm,Sverige,Hotel,60.0,194.0,7.7,,Credit Cards: Yes (incl. American Express & MasterCard),4684621000.0,nordic_choice,199232050095323.0,,"Ringvägen 98, 118 60 Stockholm, Sverige",Hotel,81.0
13,13,13,533bb9ce11d23b1e68364831,Miss Clara by Nobis,59.337577836724996,18.0621537566185,Sveavägen 48,5044,111 86,SE,Stockholm,Storstockholm,Sverige,Hotel,22.0,195.0,8.7,,Credit Cards: Yes (incl. American Express & MasterCard),4684406700.0,,,,"Sveavägen 48 (Adolf Fredriks Kyrkogata), 111 86 Stockholm, Sverige",Hotel,127.0
14,14,14,5731ff19498e447f1078ba15,Haymarket by Scandic,59.33493402597131,18.061605972555267,Hötorget 13-15,4767,111 57,SE,Stockholm,Storstockholm,Sverige,Hotel,24.0,172.0,8.4,,Credit Cards: Yes,46851726700.0,scandicsverige,138958592782290.0,,"Hötorget 13-15, 111 57 Stockholm, Sverige",Hotel,139.0
15,15,15,4fa3e3fbe4b0ddd494f6b1fb,Ett Hem,59.34549944588942,18.067862946427034,Sköldungagatan 2,5846,114 27,SE,Stockholm,Storstockholm,Sverige,Hotel,9.0,42.0,9.2,,Credit Cards: Yes,468200590.0,etthemstockholm,,,"Sköldungagatan 2 (Valhallavägen), 114 27 Stockholm, Sverige","Hotel, Restaurant",381.0
16,16,16,4adcdaeaf964a5208e5921e3,Rygerfjord Hotel & Hostel,59.32137852973993,18.058923144752566,Södermälarstrand Kajplats 11-15,3395,118 25,SE,Stockholm,Storstockholm,Sverige,Hostel,15.0,58.0,8.3,,Credit Cards: Yes (incl. American Express),468840830.0,,346254315426588.0,,"Södermälarstrand Kajplats 11-15, 118 25 Stockholm, Sverige","Hostel, Boat or Ferry, Hotel",72.0
17,17,17,4ceff7d528abb60caca0c509,Nobis Hotel,59.33338927009361,18.07412846005809,Norrmalmstorg 2-4,4461,111 86,SE,Stockholm,Storstockholm,Sverige,Hotel,75.0,200.0,8.3,,Credit Cards: Yes (incl. American Express & MasterCard),4686141000.0,nobis_hotel,,,"Norrmalmstorg 2-4, 111 86 Stockholm, Sverige",Hotel,269.0
18,18,18,4adcdaeaf964a5208c5921e3,Berns Hotel,59.332168748405856,18.073718197284233,Näckströmsgatan 8,4329,103 25,SE,Stockholm,Storstockholm,Sverige,Hotel,18.0,54.0,8.2,,Credit Cards: Yes (incl. American Express & MasterCard),,bernssalonger,,,"Näckströmsgatan 8, 103 25 Stockholm, Sverige","Hotel, Hotel Bar, Breakfast Spot",166.0
19,19,19,4adcdae9f964a520625921e3,Hotel Tegnerlunden,59.338164600000006,18.0544753,Tegnérlunden 8,5229,113 59,SE,Stockholm,Storstockholm,Sverige,Hotel,25.0,66.0,8.3,,Credit Cards: Yes (incl. American Express),46854545550.0,,2036630229911630.0,,"Tegnérlunden 8, 113 59 Stockholm, Sverige",Hotel,99.0
20,20,20,4addce61f964a520e26521e3,Clarion Hotel Sign,59.33471899999999,18.052985,Östra Järnvägsgatan 35,4896,111 20,SE,Stockholm,Storstockholm,Sverige,Hotel,49.0,213.0,8.1,,Credit Cards: Yes (incl. American Express & MasterCard),4686769800.0,nordic_choice,47231411032.0,,"Östra Järnvägsgatan 35, 111 20 Stockholm, Sverige","Hotel, Bar, Café",93.0
21,21,21,5b78255c603d2a002cce707a,Bank Hotel,59.331413977384926,18.07461133519968,Arsenalsgatan 6,4240,111 47,SE,Stockholm,Storstockholm,Sverige,Hotel,1.0,11.0,7.9,,Credit Cards: Yes,46859858000.0,,785571031595001.0,,"Arsenalsgatan 6, 111 47 Stockholm, Sverige",Hotel,221.0
22,22,22,4adcdae8f964a5203b5921e3,Victory Hotel,59.32436920000001,18.067853600000007,Lilla Nygatan 5,3540,111 28,SE,Stockholm,Storstockholm,Sverige,Hotel,7.0,12.0,7.8,,Credit Cards: Yes,46850640000.0,,109360789082318.0,,"Lilla Nygatan 5, 111 28 Stockholm, Sverige",Hotel,192.0
23,23,23,55cb2c09498e413bc3eaf971,Scandic Upplandsgatan,59.33637416041217,18.05488475669248,Upplandsgatan 4,5033,111 23,SE,Stockholm,Storstockholm,Sverige,Hotel,8.0,52.0,8.1,,Credit Cards: Yes,46851736600.0,scandicsverige,,,"Upplandsgatan 4, 111 23 Stockholm, Sverige",Hotel,
24,24,24,5228267d11d2d91dadcaedaf,Årstaviken Hotell,59.308830011093434,18.06008119427781,Hjalmar Cederströms gata 5,2158,118 61,SE,Stockholm,Storstockholm,Sverige,Hotel,1.0,11.0,7.5,,Credit Cards: Yes,46850110400.0,norlandiacare,,,"Hjalmar Cederströms gata 5, 118 61 Stockholm, Sverige","Hotel, Restaurant",83.0
25,25,25,4df8f3e2c65b6739205e1c2b,Elite Eden Park Hotel,59.338522925335255,18.074903918906003,Sturegatan 22,5025,114 36,SE,Stockholm,Storstockholm,Sverige,Hotel,15.0,35.0,8.1,,Credit Cards: Yes (incl. American Express),46855562700.0,elitehotels,,,"Sturegatan 22, 114 36 Stockholm, Sverige",Hotel,136.0
26,26,26,4adcdae8f964a5203a5921e3,Sheraton Stockholm Hotel,59.3290371,18.0615056,"Tegelbacken 6, Box 195",4139,101 23,SE,Stockholm,Storstockholm,Sverige,Hotel,69.0,274.0,7.8,,Credit Cards: Yes (incl. American Express & MasterCard),4684123400.0,spg,110654315637314.0,,"Tegelbacken 6, Box 195, 101 23 Stockholm, Sverige","Hotel, Event Space",150.0
27,27,27,4be8317b9a54a593eba40911,Mälardrottningen Yacht & Hotel,59.32409569534733,18.06257928900537,Södra Riddarholmshamnen,3598,111 28,SE,Stockholm,Storstockholm,Sverige,Hotel,22.0,32.0,7.9,,Credit Cards: Yes,46812090200.0,malardrottning,,,"Södra Riddarholmshamnen, 111 28 Stockholm, Sverige","Boat or Ferry, Hotel, Scandinavian Restaurant",103.0
28,28,28,58c12dcc110d030ba48b28fa,Hobo Hotel,59.33095,18.067078,Brunkebergstorg 4,4262,111 51,SE,Stockholm,Storstockholm,Sverige,Hotel,16.0,70.0,7.8,,Credit Cards: Yes (incl. American Express & MasterCard),46857882700.0,,1780044028890275.0,https://hobo.se/wp-content/uploads/2015/11/HOBO_Evening-menu-english.pdf,"Brunkebergstorg 4, 111 51 Stockholm, Sverige","Hotel, Lounge, Event Space",125.0
29,29,29,4adcdaeaf964a520985921e3,Hilton,59.320561979982884,18.06944511716418,Guldgränd 8,3107,104 65,SE,Stockholm,Storstockholm,Sverige,Hotel,42.0,202.0,7.5,,Credit Cards: Yes (incl. American Express & MasterCard),46851735300.0,hiltonstockholm,137619719644857.0,,"Guldgränd 8 (Slussen), 104 65 Stockholm, Sverige",Hotel,126.0
30,30,30,4adcdae8f964a520465921e3,Radisson Collection Strand Hotel,59.33093,18.07705,Nybrokajen 9,4172,103 27,SE,Stockholm,Storstockholm,Sverige,Hotel,29.0,85.0,7.6,,Credit Cards: Yes (incl. American Express),46850664000.0,radissonblu,184337274934300.0,,"Nybrokajen 9, 103 27 Stockholm, Sverige","Hotel, Event Space, Convention Center",150.0
31,31,31,4dd5307452b18e28aa2607ed,Sky Hotel Apartments Stockholm,59.3340578,18.0158607,Lindhagensgatan 90,5923,112 18,SE,Stockholm,Storstockholm,Sverige,Hotel,14.0,58.0,8.0,,Credit Cards: Yes (incl. American Express),46851800000.0,,188197764702642.0,,"Lindhagensgatan 90 (Ulriksborgsgatan), 112 18 Stockholm, Sverige",Hotel,102.0
32,32,32,4e680621196b01a6e9198a48,Scandic Grand Central,59.333721994253686,18.056100234481143,Kungsgatan 70,4731,111 20,SE,Stockholm,Storstockholm,Sverige,Hotel,62.0,216.0,7.7,,Credit Cards: Yes (incl. American Express & MasterCard),46851252000.0,scandicsverige,,,"Kungsgatan 70 (Vasagatan), 111 20 Stockholm, Sverige",Hotel,139.0
33,33,33,591ee6a6eacf45633e4ed3fd,Downtown Camper by Scandic,59.3311590662759,18.0653729519085,Brunkebergstorg 9,4307,111 51,SE,Stockholm,Storstockholm,Sverige,Hotel,12.0,19.0,7.6,,,46851726300.0,scandicsverige,,,"Brunkebergstorg 9 (Vattugatan), 111 51 Stockholm, Sverige","Hotel, Café",154.0
34,34,34,4b6ed379f964a5203bcc2ce3,Stallmästaregården,59.35191115358916,18.043306113679137,Norrtull,6882,113 47,SE,Stockholm,Storstockholm,Sverige,Hotel,27.0,74.0,8.1,,Credit Cards: Yes,4686101300.0,,,,"Norrtull, 113 47 Stockholm, Sverige","Hotel, Scandinavian Restaurant",134.0
35,35,35,4c377b9818e72d7fb79f16f5,Central Hotel,59.3331603870585,18.057976203768625,Vasagatan 38,4638,111 20,SE,Stockholm,Storstockholm,Sverige,Hotel,9.0,38.0,7.6,,Credit Cards: Yes,46856620800.0,,,,"Vasagatan 38 (Gamla Brogatan), 111 20 Stockholm, Sverige","Hotel, Restaurant, Bar",95.0
36,36,36,552d1b6f498e9a41a890520e,Browallshof hotell & matsal,59.346505750061766,18.06122238406589,Surbrunnsgatan 20,6025,113 48,SE,Stockholm,Storstockholm,Sverige,Hotel,2.0,10.0,7.8,,,,,,,"Surbrunnsgatan 20, 113 48 Stockholm, Sverige",Hotel,117.0
37,37,37,4adcdae9f964a520565921e3,Columbus Hotell,59.315733298958854,18.07857808367027,Tjärhovsgatan 11,2480,116 21,SE,Stockholm,Storstockholm,Sverige,Hotel,4.0,6.0,7.1,,Credit Cards: Yes,46850311200.0,,,,"Tjärhovsgatan 11, 116 21 Stockholm, Sverige","Hotel, Hotel Bar",127.0
38,38,38,4c6e989906ed6dcbe914a722,Clarion Collection Hotel Wellington,59.335331931001605,18.082518528924926,Storgatan 6,4645,114 51,SE,Stockholm,Storstockholm,Sverige,Hotel,4.0,12.0,7.4,,Credit Cards: Yes,4686670910.0,nordic_choice,,,"Storgatan 6, 114 51 Stockholm, Sverige",Hotel,131.0
39,39,39,55b0aa8a498eb1284429d589,Pop House Hotel,59.324885,18.096571,Djurgårdsvägen 68,3559,115 21,SE,Stockholm,Storstockholm,Sverige,Hotel,6.0,19.0,7.2,,,46850254140.0,bestwestern,,,"Djurgårdsvägen 68, 115 21 Stockholm, Sverige","Hotel, Café",115.0
40,40,40,4b4c8c01f964a520c7b526e3,Best Western Plus Time Hotel,59.34760147610611,18.049056529998783,Vanadisvägen 12,6323,113 46,SE,Stockholm,Storstockholm,Sverige,Hotel,18.0,46.0,7.7,,Credit Cards: Yes,46854547300.0,bestwesternse,,,"Vanadisvägen 12, 113 46 Stockholm, Sverige",Hotel,102.0
41,41,41,4e5aaa7f18a8c204751c6503,Hotel Hornsgatan,59.318572,18.0591215,Hornsgatan 66B,3108,118 21,SE,Stockholm,Storstockholm,Sverige,Hotel,5.0,9.0,7.1,,Credit Cards: Yes (incl. MasterCard),4686582901.0,,244148538939212.0,,"Hornsgatan 66B, 118 21 Stockholm, Sverige",Hotel,105.0
42,42,42,4ba3902cf964a520b94738e3,Scandic Talk,59.27700404884225,18.015601476815785,Mässvägen 2,4284,125 80,SE,Stockholm,Storstockholm,Sverige,Hotel,8.0,30.0,7.3,,Credit Cards: Yes (incl. American Express & MasterCard),46851726800.0,ricahotelsswe,,,"Mässvägen 2 (Stockholmsmässan), 125 80 Älvsjö, Sverige",Hotel,127.0
43,43,43,4adcdae9f964a520795921e3,Hotel Birger Jarl,59.34232859999999,18.06239779999998,Tulegatan 8,5556,113 53,SE,Stockholm,Storstockholm,Sverige,Hotel,41.0,119.0,7.4,,Credit Cards: Yes,4686741800.0,,116064745121350.0,,"Tulegatan 8, 113 53 Stockholm, Sverige","Hotel, Hotel Bar",83.0
44,44,44,4adcdae9f964a520775921e3,Scandic Gamla Stan,59.323062,18.069921,Lilla Nygatan 25,3370,111 28,SE,Stockholm,Storstockholm,Sverige,Hotel,6.0,16.0,7.1,,Credit Cards: Yes (incl. American Express & MasterCard),46851738300.0,scandicsverige,174729845891592.0,,"Lilla Nygatan 25, 111 28 Stockholm, Sverige",Hotel,140.0
45,45,45,510a8736e4b04b9dad72e870,Quality Hotel Friends,59.37210859969157,18.0029533803463,Råsta Strandväg 1,9866,169 56,SE,Solna,Storstockholm,Sverige,Hotel,11.0,71.0,8.5,,Credit Cards: Yes,4687057000.0,nordic_choice,,,"Råsta Strandväg 1, 169 56 Solna, Sverige","Hotel, Restaurant, Bar",81.0
46,46,46,4b82e908f964a52095ec30e3,Clarion Collection Hotel Tapto,59.343534842295426,18.086578991736054,Jungfrugatan 57,5561,115 31,SE,Stockholm,Storstockholm,Sverige,Hotel,11.0,14.0,7.4,,Credit Cards: Yes,4686645000.0,nordic_choice,,,"Jungfrugatan 57, 115 31 Stockholm, Sverige",Hotel,126.0
47,47,47,4d77c2937484b60cb37c41d9,Rex Petit,59.341301478110964,18.059428939404203,Luntmakargatan 73,5484,113 51,SE,Stockholm,Storstockholm,Sverige,Hotel,3.0,8.0,7.3,,Credit Cards: Yes,468236699.0,,,,"Luntmakargatan 73, 113 51 Stockholm, Sverige",Hotel,69.0
48,48,48,4adcdae9f964a520755921e3,Quality Hotel Globe,59.29257646098571,18.08396182372235,Arenaslingan 7,115,121 77,SE,Johanneshov,Storstockholm,Sverige,Hotel,12.0,72.0,6.7,,Credit Cards: Yes (incl. American Express),4686866300.0,globehotel,,,"Arenaslingan 7, 121 77 Johanneshov, Sverige","Hotel, Event Space",68.0
49,49,49,4adcdaeaf964a5209a5921e3,Rex Hotel,59.34130704530734,18.05938801667935,Luntmakargatan 73,5485,113 51,SE,Stockholm,Storstockholm,Sverige,Hotel,12.0,37.0,7.2,,Credit Cards: Yes,468160040.0,,,,"Luntmakargatan 73, 113 51 Stockholm, Sverige",Hotel,95.0
50,50,50,4bd8642a2ecdce72c1c7d0f2,Scandic Alvik,59.331658940044,17.982437419758,Gustavslundsvägen 153,7140,167 51,SE,Stockholm,Storstockholm,Sverige,Hotel,19.0,48.0,7.4,,Credit Cards: Yes (incl. American Express & MasterCard),46851766100.0,scandicsverige,184446151573513.0,,"Gustavslundsvägen 153, 167 51 Bromma, Sverige",Hotel,106.0
51,51,51,4adcdae9f964a5207c5921e3,Mornington Hotel Stockholm City,59.33783769999999,18.079393900000014,Nybrogatan 53,4930,102 44,SE,Stockholm,Storstockholm,Sverige,Hotel,36.0,63.0,7.1,,Credit Cards: Yes (incl. American Express),46850733000.0,,,,"Nybrogatan 53 (btw Kommendörs- och Linnégatan), 102 44 Stockholm, Sverige","Hotel, Hotel Bar",98.0
52,52,52,4adcdaeaf964a520955921e3,Hotel C Stockholm,59.332328940187494,18.05675467797605,Vasaplan 4,4573,111 20,SE,Stockholm,Storstockholm,Sverige,Hotel,41.0,85.0,7.0,,Credit Cards: Yes (incl. American Express),46850563100.0,hotelcstockholm,163003513725478.0,,"Vasaplan 4, 111 20 Stockholm, Sverige",Hotel,117.0
53,53,53,4adcdaeaf964a520945921e3,Nordic Light Hotel,59.33255352274117,18.05724370156947,Vasaplan 7,4587,111 20,SE,Stockholm,Storstockholm,Sverige,Hotel,30.0,90.0,7.0,,Credit Cards: Yes (incl. American Express),46850563000.0,nordic_light,,,"Vasaplan 7, 111 20 Stockholm, Sverige","Hotel, Hotel Bar, Hotel Pool",151.0
54,54,54,56ea66ce498ea46dace058c2,Hotel Drottning Kristina Stureplan,59.336839317815674,18.071347459629735,Birger Jarlsgatan 24,4863,114 34,SE,Stockholm,Storstockholm,Sverige,Hotel,2.0,15.0,7.0,,,46812217300.0,,338716373000141.0,,"Birger Jarlsgatan 24, 114 34 Stockholm, Sverige",Hotel,133.0
55,55,55,4adcdae8f964a520475921e3,Radisson Blu Royal Park Hotel,59.36919983926516,18.031054297462106,Frösundaviks allé 15,8928,169 03,SE,Solna,Storstockholm,Sverige,Hotel,11.0,33.0,7.6,,Credit Cards: Yes,4686245500.0,radissonblu,280205885730953.0,,"Frösundaviks allé 15 (Haga Royal Park), 169 03 Solna, Sverige","Hotel, Convention Center, Event Space",93.0
56,56,56,4b9144aff964a52098ae33e3,Courtyard Stockholm Kungsholmen,59.331490313037634,18.02166622453683,Rålambshovsleden 50,5492,112 19,SE,Stockholm,Storstockholm,Sverige,Hotel,34.0,119.0,7.1,,Credit Cards: Yes (incl. American Express & MasterCard),4684413100.0,,119720451429961.0,,"Rålambshovsleden 50, 112 19 Stockholm, Sverige",Hotel,89.0
57,57,57,4adcdae8f964a5203f5921e3,Freys Hotel,59.33286848928052,18.05829287207973,Bryggargatan 12,4601,111 21,SE,Stockholm,Storstockholm,Sverige,Hotel,20.0,30.0,6.9,,Credit Cards: Yes (incl. American Express),46850621300.0,,,,"Bryggargatan 12, 111 21 Stockholm, Sverige",Hotel,74.0
58,58,58,56a4eae2498e6ee2fa67e14a,Best Western and hotel,59.33635213666889,18.063970664443328,Apelbergsgatan 40,4888,111 37,SE,Stockholm,Storstockholm,Sverige,Hotel,10.0,34.0,6.9,,Credit Cards: Yes,46855001600.0,bestwestern,929622750421777.0,,"Apelbergsgatan 40, 111 37 Stockholm, Sverige",Hotel,76.0
59,59,59,4adcdae9f964a5207b5921e3,Hotel Esplanade,59.33205775884758,18.080158136536788,Strandvägen 7A,4285,114 55,SE,Stockholm,Storstockholm,Sverige,Hotel,5.0,10.0,6.8,,Credit Cards: Yes,4686630740.0,,1381876675375586.0,,"Strandvägen 7A, 114 55 Stockholm, Sverige",Hotel,101.0
60,60,60,4b83d7faf964a5202c1331e3,Elite Palace Hotel,59.34674203565803,18.03936001792054,S:t Eriksgatan 115,6427,100 31,SE,Stockholm,Storstockholm,Sverige,Hotel,17.0,69.0,7.0,,Credit Cards: Yes,46856621700.0,elitehotels,,,"S:t Eriksgatan 115, 100 31 Stockholm, Sverige","Hotel, Spa",98.0
61,61,61,4bb1b2bbf964a520619f3ce3,Hellsten Hotel,59.341473244410494,18.0597549305997,Luntmakargatan 68,5498,113 51,SE,Stockholm,Storstockholm,Sverige,Hotel,26.0,58.0,6.8,,Credit Cards: Yes,4686618600.0,,,,"Luntmakargatan 68 (btw Kungstensgatan och Rådmansgatan), 113 51 Stockholm, Sverige",Hotel,102.0
62,62,62,4adcdae9f964a5205c5921e3,Elite Hotel Arcadia,59.34836108684691,18.06439269328037,Körsbärsvägen 1,6192,114 23,SE,Stockholm,Storstockholm,Sverige,Hotel,10.0,23.0,6.8,,Credit Cards: Yes,46856621500.0,elitehotels,,,"Körsbärsvägen 1, 114 23 Stockholm, Sverige",Hotel,99.0
63,63,63,4adcdae9f964a5205a5921e3,Comfort Hotel,59.333074980748826,18.05450152955018,Kungsbron 1,4694,111 22,SE,Stockholm,Storstockholm,Sverige,Hotel,29.0,57.0,6.7,,Credit Cards: Yes (incl. American Express & MasterCard),46856622200.0,comfortsthlm,,,"Kungsbron 1 (World Trade Center), 111 22 Stockholm, Sverige",Hotel,57.0
64,64,64,4bcd5e91fb84c9b627f7213e,Ulvsunda Slott,59.3408588991005,17.964221472926106,Margretelundsvägen 25,8582,167 36,SE,Stockholm,Storstockholm,Sverige,Hotel,4.0,9.0,7.3,,Credit Cards: Yes,4687044940.0,,,,"Margretelundsvägen 25, 167 36 Bromma, Sverige","Castle, Hotel, Restaurant",85.0
65,65,65,4adcdae9f964a520745921e3,First Hotel Reisen,59.32545386621453,18.07514059139937,Skeppsbron 12,3578,111 30,SE,Stockholm,Storstockholm,Sverige,Hotel,17.0,42.0,6.5,,Credit Cards: Yes,468223260.0,,,,"Skeppsbron 12, 111 30 Stockholm, Sverige","Hotel, Hotel Bar, Restaurant",141.0
66,66,66,556db913498e2ea1c9a1a71b,Hotel Point,59.31075125656211,18.078452322593233,Östgötagatan 65,1931,116 64,SE,Stockholm,Storstockholm,Sverige,Hotel,0.0,5.0,6.4,,Credit Cards: Yes,4686400065.0,,1102663513099551.0,,"Östgötagatan 65, 116 64 Stockholm, Sverige",Hotel,72.0
67,67,67,4adcdae8f964a5204d5921e3,Långholmen Hotell & Vandrarhem / Hotel & Hostel,59.32119422867626,18.025416333965968,Långholmsmuren 20,4512,102 72,SE,Stockholm,Storstockholm,Sverige,Hotel,20.0,30.0,6.6,,Credit Cards: Yes,,,,,"Långholmsmuren 20, 102 72 Stockholm, Sverige","Hotel, Hostel",53.0
68,68,68,518668fa498e42f659501727,ApartDirect,59.301526842935715,18.106720702971405,Hammarby Fabriksväg 93,1582,120 33,SE,Stockholm,Storstockholm,Sverige,Hotel,12.0,13.0,6.3,,Credit Cards: Yes (incl. Visa & American Express),46858886340.0,apartdirect1,,,"Hammarby Fabriksväg 93, 120 33 Stockholm, Sverige","Hotel, Boarding House",72.0
69,69,69,4bcdb045fb84c9b65a5c223e,First Hotel Fridhemsplan,59.331391683354006,18.030844873435985,S:t Eriksgatan 20,5165,112 39,SE,Stockholm,Storstockholm,Sverige,Hotel,25.0,35.0,6.6,,Credit Cards: Yes (incl. American Express),4686538800.0,,,,"S:t Eriksgatan 20, 112 39 Stockholm, Sverige",Hotel,86.0
70,70,70,4b673d68f964a52042432be3,Radisson Blu Royal Viking Hotel,59.3315127,18.0581268,Vasagatan 1,4461,111 20,SE,Stockholm,Storstockholm,Sverige,Hotel,80.0,165.0,6.5,,Credit Cards: Yes (incl. American Express & MasterCard),46850654000.0,radissonblu,102571396462413.0,,"Vasagatan 1 (Central Station), 111 20 Stockholm, Sverige",Hotel,115.0
71,71,71,4adcdae8f964a520545921e3,Scandic Sjöfartshotellet,59.318867,18.07567,Katarinavägen 26,2848,104 65,SE,Stockholm,Storstockholm,Sverige,Hotel,21.0,57.0,6.3,,Credit Cards: Yes (incl. American Express & MasterCard),46851734900.0,scandicsverige,,,"Katarinavägen 26, 104 65 Stockholm, Sverige",Hotel,118.0
72,72,72,4adcdaeaf964a520995921e3,Best Western Capital Hotel,59.29565687463096,18.03322613239288,Marknadsvägen 6,2872,120 44,SE,Stockholm,Storstockholm,Sverige,Hotel,4.0,12.0,6.2,,Credit Cards: Yes,46855670780.0,bestwestern,,,"Marknadsvägen 6, 120 44 Årsta, Sverige",Hotel,65.0
73,73,73,4bd5b82e9649ce72ab91511d,Ulvsunda Slott Hotel Stockholm,59.34083743061957,17.963993718635898,Margretelundsvägen 125,8591,167 32,SE,Stockholm,Storstockholm,Sverige,Hotel,2.0,12.0,6.7,,,,,,,"Margretelundsvägen 125, 167 32 Bromma, Sverige",Hotel,85.0
74,74,74,4adcdae9f964a520635921e3,Hotel Lilla Rådmannen,59.339216756553675,18.054514982759766,Rådmansgatan 67,5340,113 60,SE,Stockholm,Storstockholm,Sverige,Hotel,14.0,20.0,6.3,,Credit Cards: Yes,46850621500.0,,,,"Rådmansgatan 67 (Teknologgatan), 113 60 Stockholm, Sverige","Hotel, Hotel Bar",55.0
